tradeday,closeprice,openprice,highprice,lowprice,tradevol,chgpcnt
2016/8/24,1329.25,1341.9,1343.95,1327.05,-,-0.85%
2016/8/23,1340.6,1337,1341.2,1334.3,-,0.22%
2016/8/22,1337.7,1334.4,1337.7,1333.3,0.12K,-0.20%
2016/8/19,1340.4,1350.1,1350.1,1338.6,0.20K,-0.80%
2016/8/18,1351.2,1351.3,1354.4,1348.2,0.14K,0.63%
2016/8/17,1342.7,1345.5,1347.3,1338.6,0.14K,-0.58%
2016/8/16,1350.5,1342.2,1355,1341,0.34K,0.76%
2016/8/15,1340.3,1336.5,1340.6,1333.6,0.06K,0.34%
2016/8/12,1335.8,1336.8,1351.8,1333.2,0.11K,-0.50%
2016/8/11,1342.5,1341.6,1350.4,1334.8,0.67K,-0.13%
2016/8/10,1344.3,1344.8,1354.2,1344.7,0.11K,0.40%
2016/8/9,1339,1331.8,1339.4,1328.5,0.62K,0.42%
2016/8/8,1333.4,1330,1335.4,1327.8,0.59K,-0.22%
2016/8/5,1336.4,1357.6,1360.8,1333.7,1.11K,-1.65%
2016/8/4,1358.8,1354.4,1361.6,1347,0.38K,0.20%
2016/8/3,1356.1,1362.4,1364.7,1353.3,0.72K,-0.61%
2016/8/2,1364.4,1352.1,1366,1346.6,2.94K,0.96%
2016/8/1,1351.4,1348.8,1353.5,1345.6,1.26K,0.18%
2016/7/29,1349,1333.2,1353.3,1325.8,6.08K,1.25%
2016/7/28,1332.3,1339.5,1344.3,1330.1,56.91K,0.43%
2016/7/27,1326.6,1326,1326.3,1326,0.00K,0.45%
2016/7/26,1320.7,1315.2,1320.3,1315.2,0.06K,0.11%
2016/7/25,1319.3,1315.7,1318.1,1313.8,0.55K,-0.29%
2016/7/22,1323.1,1330.7,1330.7,1320.4,0.06K,-0.56%
2016/7/21,1330.5,1312.8,1329.5,1312.8,0.32K,0.89%
2016/7/20,1318.8,1331,1337.5,1315.5,0.75K,-0.95%
2016/7/19,1331.5,1328.5,1333.2,1326.4,0.32K,0.23%
2016/7/18,1328.4,1327.5,1335,1326.2,0.05K,0.14%
2016/7/15,1326.5,1333.7,1333.7,1322.9,0.05K,-0.36%
2016/7/14,1331.3,1341.4,1341.4,1322.7,0.02K,-0.83%
2016/7/13,1342.4,1341.5,1341.5,1336.7,0.01K,0.62%
2016/7/12,1334.1,1353.6,1356,1330.3,0.25K,-1.54%
2016/7/11,1355,1371.7,1371.8,1353,0.03K,-0.12%
2016/7/8,1356.6,1361.3,1365.8,1335,0.25K,-0.26%
2016/7/7,1360.1,1366.8,1368.6,1350.5,0.21K,-0.35%
2016/7/6,1364.9,1359,1374.9,1359,0.13K,0.63%
2016/7/5,1356.4,1342.2,1356.8,1339.7,0.09K,0.33%
2016/7/4,1352,1345,1360.15,1343,-,0.48%
2016/7/3,1345.5,1344.5,1347.55,1338.85,-,0.66%
2016/7/1,1336.7,1324.5,1344.2,1321.9,0.14K,1.39%
2016/6/30,1318.4,1315.8,1323.5,1314.5,0.56K,-0.42%
2016/6/29,1323.9,1311.6,1327.4,1311.6,0.41K,0.65%
2016/6/28,1315.3,1314.8,1315.6,1314.1,0.02K,-0.54%
2016/6/27,1322.5,1330,1331.7,1320,0.09K,0.19%
2016/6/24,1320,1253.7,1355.6,1253.7,0.69K,4.66%
2016/6/23,1261.2,1263.4,1270.5,1255.2,0.22K,-0.54%
2016/6/22,1268,1267,1269.2,1264.9,0.05K,-0.20%
2016/6/21,1270.5,1293.9,1293.9,1266.3,0.13K,-1.51%
2016/6/20,1290,1288.9,1291.2,1280.3,0.15K,-0.19%
2016/6/17,1292.5,1280.3,1300.1,1280.3,0.13K,-0.28%
2016/6/16,1296.1,1296.3,1316.4,1281.1,0.25K,0.80%
2016/6/15,1285.8,1284.6,1296.2,1278.8,0.16K,0.02%
2016/6/14,1285.6,1281.8,1289.7,1277.8,0.55K,0.09%
2016/6/13,1284.4,1276.2,1287.3,1273,0.33K,0.86%
2016/6/10,1273.4,1267.6,1278,1265.3,0.40K,0.25%
2016/6/9,1270.2,1262.5,1271.4,1258.1,0.38K,0.83%
2016/6/8,1259.8,1247.6,1264,1247.3,0.41K,1.24%
2016/6/7,1244.4,1244,1244.9,1236.5,0.28K,-0.02%
2016/6/6,1244.6,1244.4,1247.3,1240,1.14K,0.36%
2016/6/3,1240.1,1209.1,1244.5,1206.4,1.62K,2.50%
2016/6/2,1209.8,1212.4,1217,1209.6,1.63K,-0.17%
2016/6/1,1211.9,1215.7,1219.8,1205.4,2.72K,-0.24%
2016/5/31,1214.8,1212.5,1217.6,1199,6.43K,0.22%
2016/5/30,1212.15,1208.25,1213.15,1201.8,-,-0.14%
2016/5/27,1213.8,1220.3,1223.2,1206.4,63.74K,-0.52%
2016/5/26,1220.1,1232.6,1232.6,1230.6,0.00K,-0.28%
2016/5/25,1223.5,1219.3,1219.3,1218.6,0.01K,-0.44%
2016/5/24,1228.9,1240,1240,1228.2,0.02K,-1.77%
2016/5/23,1251.1,1251.6,1251.6,1247.5,0.06K,-0.10%
2016/5/20,1252.4,1256.6,1256.6,1255.4,0.04K,-0.14%
2016/5/19,1254.2,1248,1255.5,1247.5,0.07K,-1.53%
2016/5/18,1273.7,1276.4,1276.4,1256.8,0.02K,-0.20%
2016/5/17,1276.2,1272.5,1281.6,1270.8,0.02K,0.22%
2016/5/16,1273.4,1272.8,1287.8,1272.8,0.04K,0.12%
2016/5/13,1271.9,1271.4,1275.7,1264.6,0.07K,0.13%
2016/5/12,1270.3,1267,1281.2,1264,0.10K,-0.34%
2016/5/11,1274.6,1266.9,1279.2,1266.9,0.05K,0.85%
2016/5/10,1263.9,1265.1,1267.4,1258.7,0.02K,-0.13%
2016/5/9,1265.6,1286.5,1286.5,1262.3,0.34K,-2.11%
2016/5/6,1292.9,1278.6,1295.6,1276.9,0.31K,1.69%
2016/5/5,1271.4,1282.9,1286,1270.8,0.33K,-0.15%
2016/5/4,1273.3,1286.9,1290,1273,0.11K,-1.35%
2016/5/3,1290.7,1292.7,1301.5,1284.5,0.15K,-0.31%
2016/5/2,1294.7,1292.1,1304.4,1290.4,0.19K,0.43%
2016/4/29,1289.2,1267.3,1295.5,1267.2,0.46K,1.87%
2016/4/28,1265.5,1245.9,1270.1,1238.5,0.89K,1.30%
2016/4/27,1249.2,1248.6,1249.5,1248.6,0.04K,0.56%
2016/4/26,1242.2,1239.8,1244.2,1233,0.10K,0.27%
2016/4/25,1238.9,1231.6,1240.9,1231.6,0.44K,0.83%
2016/4/22,1228.7,1248.5,1248.5,1228,0.19K,-1.63%
2016/4/21,1249,1247.7,1270.6,1247.6,0.12K,-0.34%
2016/4/20,1253.2,1256.1,1256.1,1243,0.18K,0.02%
2016/4/19,1253,1231.6,1256.2,1228.8,0.39K,1.57%
2016/4/18,1233.6,1238.7,1241.1,1232.2,0.30K,0.04%
2016/4/15,1233.1,1225.7,1235,1225.7,0.10K,0.66%
2016/4/14,1225,1231.4,1243.7,1224.5,0.26K,-1.75%
2016/4/13,1246.8,1256.5,1256.9,1241.3,0.20K,-1.00%
2016/4/12,1259.4,1260,1261.7,1253.7,0.19K,0.21%
2016/4/11,1256.7,1241.5,1258.7,1241.5,0.44K,1.14%
2016/4/8,1242.5,1241,1242.8,1232,0.41K,0.51%
2016/4/7,1236.2,1224.8,1242.9,1224.6,0.38K,1.12%
2016/4/6,1222.5,1230.4,1230.4,1217.6,0.25K,-0.48%
2016/4/5,1228.4,1215.4,1236.7,1215.4,0.48K,0.85%
2016/4/4,1218,1221.7,1222.3,1215,2.04K,-0.34%
2016/4/1,1222.2,1232.3,1235.2,1209.2,1.60K,-0.97%
2016/3/31,1234.2,1225.6,1239.6,1224.5,3.38K,0.59%
2016/3/30,1226.9,1241.4,1245,1223.4,48.25K,-0.70%
2016/3/29,1235.6,1217.8,1217.8,1217.7,0.04K,1.29%
2016/3/28,1219.9,1211.5,1222.2,1210,0.03K,0.26%
2016/3/25,1216.7,1216.7,1216.7,1216.7,-,-0.38%
2016/3/24,1221.4,1214.2,1221.3,1214.2,0.01K,-0.19%
2016/3/23,1223.7,1247.7,1247.7,1218.6,0.03K,-1.96%
2016/3/22,1248.2,1244,1252.4,1243.8,0.02K,0.35%
2016/3/21,1243.8,1256.2,1256.2,1243.4,1.06K,-0.80%
2016/3/18,1253.8,1257.1,1264.4,1251.5,0.54K,-0.85%
2016/3/17,1264.5,1261.5,1270.1,1255.9,0.03K,2.86%
2016/3/16,1229.3,1229.5,1263.8,1228.9,0.05K,-0.09%
2016/3/15,1230.4,1228.3,1236,1228,0.04K,-1.13%
2016/3/14,1244.4,1256,1258,1234.5,0.06K,-1.14%
2016/3/11,1258.7,1270,1280.7,1249.4,0.09K,-1.05%
2016/3/10,1272,1250,1273,1237.5,0.12K,1.23%
2016/3/9,1256.6,1254.5,1260,1244.8,0.08K,-0.44%
2016/3/8,1262.1,1268.7,1276.3,1261,0.04K,-0.09%
2016/3/7,1263.2,1259.8,1272.3,1259.7,0.07K,-0.53%
2016/3/4,1269.9,1263,1279.9,1250.9,0.27K,0.99%
2016/3/3,1257.4,1238.4,1267.9,1238,0.12K,1.31%
2016/3/2,1241.1,1232.8,1242.6,1226,0.27K,0.88%
2016/3/1,1230.3,1240.5,1248.4,1229,0.48K,-0.29%
2016/2/29,1233.9,1218.6,1241,1218.6,0.58K,1.16%
2016/2/26,1219.8,1232.4,1239.1,1212.2,0.66K,-1.49%
2016/2/25,1238.2,1239.4,1241.5,1235,0.05K,-0.04%
2016/2/24,1238.7,1230,1250.1,1230,0.11K,1.34%
2016/2/23,1222.3,1207.4,1226.1,1207.4,0.35K,1.06%
2016/2/22,1209.5,1226.1,1226.1,1203,0.28K,-1.70%
2016/2/19,1230.4,1230.8,1232.8,1221.8,0.08K,0.35%
2016/2/18,1226.1,1209.6,1239.2,1201.6,0.32K,1.24%
2016/2/17,1211.1,1196.5,1212.9,1196.5,0.05K,0.26%
2016/2/16,1207.9,1233.1,1233.6,1193.6,0.42K,-0.02%
2016/2/15,1208.1,1234,1235.1,1202.8,-,-2.07%
2016/2/14,1233.6,1235.7,1235.9,1231.4,-,-0.44%
2016/2/12,1239.1,1247.8,1247.8,1233.5,0.25K,-0.71%
2016/2/11,1247.9,1205.6,1260.8,1204.6,1.00K,4.45%
2016/2/10,1194.7,1189.8,1197.7,1182.1,0.67K,-0.33%
2016/2/9,1198.7,1188.7,1199.2,1186.7,0.70K,0.07%
2016/2/8,1197.9,1173.5,1200.4,1165,0.93K,3.46%
2016/2/5,1157.8,1155.6,1174.8,1146,0.88K,0.02%
2016/2/4,1157.6,1142.5,1157.3,1141,0.77K,1.43%
